reaction_id,log2fc,p_value,subsystem,flux_cond1,flux_cond2
3AMACHYD,-1.0047,0.0308,Nucleotide Salvage Pathway,6.8181,3.398
3AMPtex,-0.3441,0.214,"Transport, Outer Membrane Porin",1.8846,1.4847
3CMPtex,0.8512,0.0966,"Transport, Outer Membrane Porin",5.183,9.3499
3GMPtex,0.0349,0.597,"Transport, Outer Membrane Porin",4.0672,4.1667
EX_fe3_e,-1.461,0.189,Extracellular exchange,6.3837,2.3188
3HAD100,-0.4379,0.295,Cell Envelope Biosynthesis,7.8146,5.7687
EX_fe3dcit_e,0.0247,0.751,Extracellular exchange,7.3278,7.4545
3HAD120,-0.6081,0.241,Cell Envelope Biosynthesis,4.8869,3.2061
5DOAN,0.5224,0.321,Cofactor and Prosthetic Group Biosynthesis,6.8983,9.908
EX_fe3dhbzs_e,-0.9025,0.219,Extracellular exchange,6.4758,3.4644
5MTRtex,0.1052,0.324,"Transport, Outer Membrane Porin",3.5434,3.8115
5MTRtpp,-0.0004,0.383,"Transport, Inner Membrane",0.1759,0.1758
3HAD121,-0.0398,0.624,Cell Envelope Biosynthesis,5.517,5.3668
3HAD140,0.922,0.0484,Cell Envelope Biosynthesis,6.5533,12.4172
A5PISO,-0.049,0.539,Alternate Carbon Metabolism,0.5171,0.4999
EX_fe3hox_e,0.1357,0.732,Extracellular exchange,3.39,3.7242
AACPS1,-1.3575,0.049,Cell Envelope Biosynthesis,2.4477,0.9552
AACPS2,-0.1475,0.351,Cell Envelope Biosynthesis,0.9309,0.8404
3HAD141,-0.0695,0.682,Cell Envelope Biosynthesis,5.4607,5.204
EX_fe3hox_un_e,-0.6376,0.395,Extracellular exchange,4.7088,3.0268
AACPS3,0.8395,0.118,Cell Envelope Biosynthesis,6.1754,11.0506
AACPS4,-0.9524,0.121,Cell Envelope Biosynthesis,3.3128,1.7119
AACPS5,-1.0743,0.0884,Cell Envelope Biosynthesis,5.7385,2.7251
3HAD160,0.2134,0.456,Cell Envelope Biosynthesis,9.6009,11.1316
AACPS6,-0.5546,0.203,Cell Envelope Biosynthesis,6.5775,4.4783
EX_fecrm_e,-0.0091,0.831,Extracellular exchange,5.2765,5.2434
AACPS7,-0.4154,0.337,Cell Envelope Biosynthesis,1.5324,1.149
3HAD161,-1.4119,0.025,Cell Envelope Biosynthesis,8.8032,3.3083
AACPS8,-0.43,0.305,Cell Envelope Biosynthesis,8.4697,6.2868
EX_fecrm_un_e,0.1539,0.812,Extracellular exchange,5.7033,6.3452
AACPS9,0.5025,0.216,Cell Envelope Biosynthesis,5.5299,7.8342
3HAD180,0.6546,0.157,Cell Envelope Biosynthesis,3.6191,5.6972
3HAD181,-1.2133,0.0389,Cell Envelope Biosynthesis,3.755,1.6195
AACTOOR,1.6752,0.207,Methylglyoxal Metabolism,6.2209,19.8668
AADDGT,-0.189,0.246,Cell Envelope Biosynthesis,1.5529,1.3623
AAMYL,0.3212,0.741,Alternate Carbon Metabolism,6.4209,8.0222
AAMYLpp,0.184,0.526,Alternate Carbon Metabolism,2.8144,3.1973
AB6PGH,0.6396,0.331,Alternate Carbon Metabolism,4.3933,6.8445
ABTA,-0.3289,0.538,Arginine and Proline Metabolism,4.7725,3.7997
ABUTD,0.6001,0.255,Arginine and Proline Metabolism,6.6836,10.1314
3HAD40,0.4947,0.227,Cell Envelope Biosynthesis,6.3282,8.9167
3HAD60,-0.1019,0.709,Cell Envelope Biosynthesis,7.6523,7.1304
3HAD80,-0.6823,0.15,Cell Envelope Biosynthesis,6.9357,4.3223
3HCINNMH,0.602,0.405,Alternate Carbon Metabolism,2.5619,3.8886
3HPPPNH,-0.3566,0.708,Alternate Carbon Metabolism,3.0884,2.4121
ABUTt2pp,0.2459,0.407,"Transport, Inner Membrane",7.1868,8.5226
EX_feenter_e,0.2973,0.596,Extracellular exchange,0.2012,0.2472
ABUTtex,1.2856,0.0967,"Transport, Outer Membrane Porin",5.1713,12.6072
3HPPtex,0.5559,0.174,"Transport, Outer Membrane Porin",6.5101,9.5705
3HPPtpp,0.511,0.262,"Transport, Inner Membrane",6.328,9.0173
ACACCT,-0.209,0.568,Alternate Carbon Metabolism,1.9469,1.6844
ACACT1r,0.1046,0.722,Membrane Lipid Metabolism,0.2683,0.2885
3KGK,-0.1753,0.311,Alternate Carbon Metabolism,1.716,1.5197
ACACT2r,0.4009,0.349,Membrane Lipid Metabolism,6.9867,9.2245
EX_feoxam_e,-0.0401,0.514,Extracellular exchange,3.5431,3.4461
ACACT3r,-0.1821,0.599,Membrane Lipid Metabolism,7.0911,6.25
ACACT4r,0.0758,0.48,Membrane Lipid Metabolism,9.1307,9.623
3NTD2pp,-0.0653,0.667,Nucleotide Salvage Pathway,3.0976,2.9605
3NTD4pp,-1.3603,0.0185,Nucleotide Salvage Pathway,2.7132,1.0568
EX_feoxam_un_e,-0.4616,0.514,Extracellular exchange,7.1738,5.2093
ACACT5r,0.3369,0.24,Membrane Lipid Metabolism,1.1783,1.4882
EX_for_e,-0.655,0.354,Extracellular exchange,5.3513,3.3984
ACACT6r,0.4129,0.132,Membrane Lipid Metabolism,6.0907,8.1088
3NTD7pp,-0.4686,0.151,Nucleotide Salvage Pathway,6.1634,4.4541
3NTD9pp,-0.0539,0.768,Nucleotide Salvage Pathway,4.5134,4.3478
EX_fru_e,-0.4788,0.522,Extracellular exchange,1.5199,1.0906
3OAR100,0.559,0.115,Cell Envelope Biosynthesis,3.668,5.4036
ACACT7r,1.9022,0.00534,Membrane Lipid Metabolism,5.2252,19.5314
EX_frulys_e,-0.7715,0.55,Extracellular exchange,1.2224,0.7161
ACACT8r,0.015,0.664,Membrane Lipid Metabolism,4.6816,4.7306
ACACt2pp,0.2202,0.562,"Transport, Inner Membrane",3.8424,4.476
ACACtex,0.8448,0.197,"Transport, Outer Membrane Porin",5.1694,9.2845
3OAR120,0.4306,0.353,Cell Envelope Biosynthesis,1.2133,1.6352
3OAR121,-0.9555,0.0852,Cell Envelope Biosynthesis,5.9807,3.0841
3OAR140,-0.7829,0.109,Cell Envelope Biosynthesis,4.8776,2.8349
ACALD,1.3941,0.000188,Pyruvate Metabolism,5.1759,13.6033
3OAR141,0.2472,0.211,Cell Envelope Biosynthesis,6.6143,7.8503
EX_fruur_e,0.2421,0.673,Extracellular exchange,8.1471,9.6357
3OAR160,0.5346,0.275,Cell Envelope Biosynthesis,4.729,6.8503
ACALDtex,-0.3103,0.386,"Transport, Outer Membrane Porin",6.5306,5.2668
EX_fuc__L_e,1.0478,0.157,Extracellular exchange,3.9752,8.2183
3OAR161,-0.7221,0.197,Cell Envelope Biosynthesis,0.6509,0.3946
EX_fum_e,0.5003,0.408,Extracellular exchange,3.821,5.4048
ACALDtpp,0.3328,0.489,"Transport, Inner Membrane",7.0523,8.8819
3OAR180,-0.4521,0.204,Cell Envelope Biosynthesis,0.7422,0.5425
EX_fusa_e,0.0085,0.626,Extracellular exchange,4.561,4.588
ACANTHAT,-0.1776,0.831,"Tyrosine, Tryptophan, and Phenylalanine Metabolism",7.4435,6.5814
3OAR181,0.9695,0.0989,Cell Envelope Biosynthesis,5.2498,10.2796
ACBIPGT,0.7605,0.309,Cofactor and Prosthetic Group Biosynthesis,4.9684,8.4165
EX_g1p_e,-0.6829,0.444,Extracellular exchange,3.8473,2.3965
ACCOAC,0.4457,0.145,Membrane Lipid Metabolism,9.1803,12.5034
3OAR40,0.4606,0.128,Cell Envelope Biosynthesis,6.0719,8.3559
EX_g3pc_e,0.3472,0.701,Extracellular exchange,4.0804,5.1904
3OAR60,-0.7081,0.122,Cell Envelope Biosynthesis,9.5499,5.8457
ACCOAL,-0.1183,0.423,Alternate Carbon Metabolism,3.3208,3.0593
ACGAL1PPpp,-0.1647,0.789,Alternate Carbon Metabolism,13.5786,12.114
3OAR80,-1.4476,0.0451,Cell Envelope Biosynthesis,10.0311,3.6777
EX_g3pe_e,0.4783,0.323,Extracellular exchange,8.3488,11.6305
ACGAL1Ptex,0.0373,0.428,"Transport, Outer Membrane Porin",7.2181,7.4071
ACGALtex,-0.0295,0.499,"Transport, Outer Membrane Porin",4.0134,3.9322
ACGAM1PPpp,0.2744,0.665,Alternate Carbon Metabolism,6.9325,8.385
3OAS100,-0.735,0.084,Cell Envelope Biosynthesis,12.8044,7.693
ACGAM1Ptex,0.71,0.188,"Transport, Outer Membrane Porin",5.4927,8.9853
ACGAMK,-0.2063,0.683,Murein Recycling,7.917,6.8623
ACGAMT,-0.6132,0.244,Cell Envelope Biosynthesis,3.1978,2.0905
3OAS120,-0.8584,0.0916,Cell Envelope Biosynthesis,8.0958,4.4653
3OAS121,-0.369,0.293,Cell Envelope Biosynthesis,1.1614,0.8993
3OAS140,-0.2971,0.259,Cell Envelope Biosynthesis,6.1618,5.0152
ACGAptspp,1.0371,0.0953,"Transport, Inner Membrane",0.6277,1.288
EX_g3pg_e,0.3288,0.722,Extracellular exchange,5.9799,7.5108
ACGAtex,0.695,0.109,"Transport, Outer Membrane Porin",7.3467,11.8933
ACGK,-0.5055,0.66,Arginine and Proline Metabolism,5.1677,3.6402
ACGS,0.6469,0.539,Arginine and Proline Metabolism,4.7272,7.4016
3OAS141,-0.6821,0.195,Cell Envelope Biosynthesis,2.1323,1.3289
3OAS160,-0.0739,0.717,Cell Envelope Biosynthesis,5.4893,5.2151
3OAS161,-1.229,0.0546,Cell Envelope Biosynthesis,4.5992,1.962
ACHBS,0.2278,0.365,"Valine, Leucine, and Isoleucine Metabolism",3.183,3.7275
EX_g3pi_e,-0.2698,0.526,Extracellular exchange,10.9552,9.0869
3OAS180,-0.3197,0.274,Cell Envelope Biosynthesis,0.2406,0.1928
ACKr,1.4216,0.000151,Pyruvate Metabolism,0.3592,0.9622
EX_g3ps_e,-0.6124,0.395,Extracellular exchange,4.5521,2.9776
ACLS,0.1759,0.758,"Valine, Leucine, and Isoleucine Metabolism",8.8985,10.0524
ACM6PH,-0.0168,0.545,Alternate Carbon Metabolism,8.2181,8.1227
ACMAMUT,-0.7603,0.16,Cell Envelope Biosynthesis,11.6642,6.8865
3OAS181,0.1676,0.379,Cell Envelope Biosynthesis,6.9711,7.8297
EX_g6p_e,-0.1763,0.616,Extracellular exchange,6.1862,5.4745
3OAS60,-0.9252,0.0575,Cell Envelope Biosynthesis,8.5873,4.5221
ACMANAptspp,-0.2918,0.434,"Transport, Inner Membrane",4.738,3.8705
EX_gal_e,0.8945,0.349,Extracellular exchange,7.1228,13.2411
ACMANAtex,0.2967,0.497,"Transport, Outer Membrane Porin",6.9132,8.4918
ACMUMptspp,1.0284,0.0862,"Transport, Inner Membrane",5.42,11.0557
3OAS80,-1.1903,0.0342,Cell Envelope Biosynthesis,11.613,5.0888
3OXCOAT,0.0333,0.534,Alternate Carbon Metabolism,5.5154,5.6442
ACMUMtex,0.4469,0.345,"Transport, Outer Membrane Porin",5.5133,7.5151
EX_gal_bD_e,0.3139,0.559,Extracellular exchange,4.4789,5.5677
ACNAMt2pp,0.6342,0.138,"Transport, Inner Membrane",4.6728,7.2527
3PEPTabcpp,-0.1796,0.602,Murein Recycling,5.0678,4.4747
3PEPTtex,0.8701,0.0862,"Transport, Outer Membrane Porin",0.438,0.8006
3UMPtex,-0.3105,0.351,"Transport, Outer Membrane Porin",3.8622,3.1143
EX_gal1p_e,0.3029,0.334,Extracellular exchange,8.8446,10.9112
42A12BOOXpp,-0.0981,0.295,Nitrogen Metabolism,3.92,3.6623
ACNAMtex,0.6057,0.201,"Transport, Outer Membrane",2.9517,4.4918
ACNML,-0.6258,0.212,Alternate Carbon Metabolism,4.8164,3.1213
ACOAD1f,1.1379,0.0324,Membrane Lipid Metabolism,2.6408,5.8113
4HOXPACDtex,0.1994,0.519,"Transport, Outer Membrane Porin",7.4582,8.5638
4HTHRS,-0.4936,0.355,Cofactor and Prosthetic Group Biosynthesis,4.4475,3.1589
ACOAD2f,0.4605,0.214,Membrane Lipid Metabolism,8.7278,12.0097
EX_galct__D_e,-0.5518,0.638,Extracellular exchange,2.0473,1.3965
ACOAD3f,0.9448,0.0702,Membrane Lipid Metabolism,7.7405,14.8997
ACOAD4f,0.7803,0.0713,Membrane Lipid Metabolism,7.5484,12.9641
4PCP,-0.8239,0.273,Murein Recycling,3.8225,2.1595
4PCPpp,-0.364,0.446,Murein Recycling,5.5775,4.3336
ACOAD5f,1.6473,0.0101,Membrane Lipid Metabolism,4.7263,14.8055
4PEPTabcpp,-0.1881,0.766,Murein Recycling,6.7003,5.8811
EX_galctn__D_e,0.1511,0.539,Extracellular exchange,4.6867,5.2043
4PEPTtex,-0.029,0.699,"Transport, Outer Membrane Porin",6.4037,6.2765
5DGLCNR,0.245,0.789,Alternate Carbon Metabolism,2.5548,3.0277
ACOAD6f,0.1826,0.48,Membrane Lipid Metabolism,3.6882,4.186
ACOAD7f,0.8799,0.0811,Membrane Lipid Metabolism,7.4003,13.6181
ACOAD8f,0.6044,0.129,Membrane Lipid Metabolism,6.4062,9.7398
ACOATA,0.7309,0.105,Membrane Lipid Metabolism,3.516,5.8356
5DGLCNt2rpp,0.0285,0.525,"Transport, Inner Membrane",3.8728,3.95
5DGLCNtex,0.9522,0.129,"Transport, Outer Membrane Porin",1.1631,2.2503
ACODA,-0.0439,0.451,Arginine and Proline Metabolism,4.8563,4.7107
EX_galctn__L_e,-0.1162,0.553,Extracellular exchange,5.91,5.4527
ACOLIPAabctex,-0.6155,0.457,Lipopolysaccharide Biosynthesis / Recycling,2.1975,1.4343
ACONIs,-1.0465,0.227,Unassigned,4.6867,2.269
EX_galt_e,-0.1196,0.462,Extracellular exchange,7.2124,6.6388
ACONMT,0.4131,0.67,Unassigned,2.6692,3.5543
ACONTa,-2.4423,2.8e-06,Citric Acid Cycle,5.3629,0.9867
ACONTb,-1.2863,0.000181,Citric Acid Cycle,5.8356,2.3926
ACOTA,-0.5593,0.499,Arginine and Proline Metabolism,5.4217,3.6794
ACPPAT120,-0.0154,0.639,Glycerophospholipid Metabolism,4.9842,4.9312
AGM4PCPpp,-0.4575,0.315,Murein Recycling,6.5648,4.7808
AGM4PH,0.125,0.439,Murein Recycling,3.3443,3.6471
AGM4Pt2pp,-0.5668,0.418,Murein Recycling,10.9663,7.4034
AGMH,0.213,0.44,Murein Recycling,6.8194,7.9041
ACPPAT140,0.021,0.462,Glycerophospholipid Metabolism,4.8635,4.935
EX_galur_e,-0.0398,0.666,Extracellular exchange,3.8478,3.743
ACPPAT141,0.3243,0.603,Glycerophospholipid Metabolism,2.2778,2.8518
ACPPAT160,-1.0539,0.448,Glycerophospholipid Metabolism,2.77,1.3342
AGMHE,-0.7389,0.456,Lipopolysaccharide Biosynthesis / Recycling,2.4699,1.48
AGMT,0.2636,0.604,Arginine and Proline Metabolism,2.3919,2.8714
ACPPAT161,-0.9336,0.437,Glycerophospholipid Metabolism,8.1222,4.2524
AGMt2pp,-0.34,0.742,Murein Recycling,8.3637,6.6076
EX_gam_e,-0.0389,0.602,Extracellular exchange,2.9775,2.8983
AGMtex,0.6819,0.253,"Transport, Outer Membrane Porin",6.2417,10.0132
ACPPAT180,0.3304,0.632,Glycerophospholipid Metabolism,8.8364,11.1103
ACPPAT181,0.556,0.239,Glycerophospholipid Metabolism,4.203,6.1794
ACPS1,-0.5028,0.397,Cofactor and Prosthetic Group Biosynthesis,7.1644,5.056
AGPAT120,0.1253,0.541,Glycerophospholipid Metabolism,4.2323,4.6162
AGPAT140,-0.0554,0.796,Glycerophospholipid Metabolism,2.7247,2.6221
EX_gam6p_e,0.4884,0.499,Extracellular exchange,4.8037,6.7391
ACS,2.2841,7.28e-06,Pyruvate Metabolism,6.393,31.1385
ACSERtex,0.3823,0.465,"Transport, Outer Membrane Porin",2.4748,3.2256
AGPAT141,0.7075,0.217,Glycerophospholipid Metabolism,5.1747,8.4503
EX_gbbtn_e,-0.3695,0.305,Extracellular exchange,6.3671,4.9283
ACSERtpp,1.021,0.112,"Transport, Inner Membrane",1.2744,2.5861
AGPAT160,0.3384,0.362,Glycerophospholipid Metabolism,8.1708,10.3311
EX_gdp_e,-0.784,0.53,Extracellular exchange,3.7515,2.1786
AGPAT161,0.0099,0.43,Glycerophospholipid Metabolism,7.4622,7.5134
AGPAT180,0.9298,0.282,Glycerophospholipid Metabolism,3.2168,6.1279
AGPAT181,-0.9259,0.36,Glycerophospholipid Metabolism,7.4415,3.9168
AGPR,-0.4816,0.495,Arginine and Proline Metabolism,3.4965,2.5041
ACt2rpp,0.6407,0.28,"Transport, Inner Membrane",5.107,7.962
ACt4pp,0.9254,0.148,"Transport, Inner Membrane",3.3083,6.2831
ACtex,-0.1766,0.504,"Transport, Outer Membrane Porin",6.2265,5.509
ADA,-0.3626,0.175,Nucleotide Salvage Pathway,1.5285,1.1888
ADCL,-0.3695,0.473,Cofactor and Prosthetic Group Biosynthesis,5.9971,4.6422
AGt3,1.3231,0.0751,Inorganic Ion Transport and Metabolism,0.8951,2.2396
AHCYSNS,-0.2136,0.305,Methionine Metabolism,4.213,3.6331
ADCS,0.9581,0.181,Cofactor and Prosthetic Group Biosynthesis,5.6618,10.9997
AICART,1.1076,0.349,Purine and Pyrimidine Biosynthesis,6.588,14.1961
AMALT3,-0.1565,0.455,Alternate Carbon Metabolism,2.9997,2.6914
AIRC2,-0.4675,0.476,Purine and Pyrimidine Biosynthesis,4.2045,3.0408
AIRC3,-0.4245,0.388,Purine and Pyrimidine Biosynthesis,1.7589,1.3106
AKGDH,-1.4783,6.82e-05,Citric Acid Cycle,5.0142,1.7997
AKGt2rpp,0.1895,0.388,"Transport, Inner Membrane",5.6482,6.4411
AKGtex,-0.3282,0.321,"Transport, Outer Membrane Porin",0.1059,0.0844
ALAALAD,0.4218,0.259,Murein Recycling,8.6748,11.6206
ALAALAabcpp,0.0278,0.721,"Transport, Inner Membrane",4.9503,5.0466
ADD,-0.5417,0.119,Nucleotide Salvage Pathway,0.2954,0.2029
ADEt2rpp,0.4596,0.209,"Transport, Inner Membrane",1.6014,2.2022
ADEtex,0.1984,0.65,"Transport, Outer Membrane Porin",3.0771,3.5306
ADK1,-0.5662,0.157,Nucleotide Salvage Pathway,4.6941,3.1704
ADK3,-0.7714,0.0728,Nucleotide Salvage Pathway,5.3894,3.1573
ADK4,-0.7024,0.0596,Nucleotide Salvage Pathway,4.7149,2.8975
ADMDC,0.0448,0.835,Arginine and Proline Metabolism,2.7863,2.8742
ADNCYC,-1.2373,0.018,Nucleotide Salvage Pathway,7.8023,3.3094
ADNK1,0.2155,0.275,Nucleotide Salvage Pathway,5.5927,6.4937
ALAALAr,-1.1987,0.0553,Cell Envelope Biosynthesis,3.4415,1.4993
ALAALAtex,0.4223,0.404,"Transport, Outer Membrane Porin",6.7593,9.0577
ALAGLUE,0.4003,0.535,Murein Recycling,3.4843,4.5984
ALAR,0.3051,0.514,Alanine and Aspartate Metabolism,4.6954,5.801
ADNUC,0.1812,0.597,Alternate Carbon Metabolism,0.846,0.9592
ADNt2pp_copy1,0.435,0.215,"Transport, Inner Membrane",2.3042,3.1151
ADNt2pp_copy2,0.1161,0.486,"Transport, Inner Membrane",7.5126,8.1423
ADNtex,1.0679,0.114,"Transport, Outer Membrane",9.0487,18.9701
ADOCBIK,-0.0336,0.765,Cofactor and Prosthetic Group Biosynthesis,0.8931,0.8726
ADOCBLS,-0.2047,0.342,Cofactor and Prosthetic Group Biosynthesis,5.8643,5.0886
ALATA_D2,1.2832,0.126,Cofactor and Prosthetic Group Biosynthesis,10.2114,24.8522
ALATA_L,-0.4971,0.417,Alanine and Aspartate Metabolism,2.0303,1.4385
ALATA_L2,0.0429,0.706,Cofactor and Prosthetic Group Biosynthesis,4.9807,5.1312
ALATRS,-0.2096,0.787,tRNA Charging,5.6622,4.8966
ALAabcpp,0.2021,0.331,"Transport, Inner Membrane",5.048,5.807
ALAt2pp_copy1,0.0237,0.303,"Transport, Inner Membrane",8.2749,8.412
ADOCBLabcpp,-0.3739,0.385,"Transport, Inner Membrane",7.5383,5.8172
ADOCBLtonex,-0.1717,0.303,"Transport, Outer Membrane",9.1551,8.1277
ALAt2pp_copy2,0.409,0.209,"Transport, Inner Membrane",5.2643,6.9895
AMALT4,0.2107,0.767,Alternate Carbon Metabolism,2.7551,3.1883
ALAt4pp,0.1804,0.679,"Transport, Inner Membrane",0.4536,0.514
ALAtex,-0.1851,0.601,"Transport, Outer Membrane Porin",1.4645,1.2882
ALCD19,-0.2998,0.607,Alternate Carbon Metabolism,2.3857,1.9381
ALCD2x,2.338,2.82e-06,Pyruvate Metabolism,7.7277,39.0712
ADPRDP,0.1739,0.562,Nucleotide Salvage Pathway,3.5842,4.0434
ADPT,-0.9576,0.0449,Nucleotide Salvage Pathway,2.7631,1.4227
ADSK,-0.2319,0.717,Cysteine Metabolism,5.5104,4.692
ADSL1r,0.1878,0.459,Purine and Pyrimidine Biosynthesis,6.945,7.9108
ADSL2r,-0.195,0.446,Purine and Pyrimidine Biosynthesis,2.2082,1.9291
ADSS,-0.4107,0.324,Purine and Pyrimidine Biosynthesis,3.7804,2.8438
AGDC,0.1774,0.664,Alternate Carbon Metabolism,1.9485,2.2034
ALDD19xr,1.5448,0.148,Alternate Carbon Metabolism,6.6237,19.3253
ALDD2x,-0.3241,0.416,Alternate Carbon Metabolism,4.5384,3.6252
AMANAPEr,0.1211,0.86,Alternate Carbon Metabolism,1.5351,1.6695
ALDD2y,0.8452,0.495,Alternate Carbon Metabolism,9.1177,16.3796
ALDD3y,-0.5514,0.334,Alternate Carbon Metabolism,11.0941,7.5701
ALDD4,-0.1329,0.59,Alternate Carbon Metabolism,2.5145,2.2933
AGM3PA,-0.7403,0.312,Murein Recycling,0.8526,0.5104
AGM3PApp,0.3886,0.599,Murein Recycling,6.2927,8.238
AGM3PH,-0.3228,0.583,Murein Recycling,7.8981,6.3146
AGM3Pt2pp,-0.9543,0.295,Murein Recycling,8.4948,4.3842
AGM4PA,-1.1118,0.162,Murein Recycling,5.7287,2.6507
ALLK,-0.6111,0.48,Alternate Carbon Metabolism,8.0848,5.293
ALLPI,-0.5496,0.608,Alternate Carbon Metabolism,6.2732,4.2859
ALLTAMH,0.3441,0.466,Alternate Carbon Metabolism,3.7117,4.7116
ALLTN,0.2618,0.447,Nitrogen Metabolism,5.1819,6.2128
ALLTNt2rpp,-0.277,0.25,"Transport, Inner Membrane",8.5448,7.0522
AGM4PApp,-1.0096,0.195,Murein Recycling,6.8144,3.3847
AGM4PCP,0.1072,0.633,Murein Recycling,7.8435,8.4485
ALLTNtex,0.6485,0.197,"Transport, Outer Membrane Porin",4.3676,6.8461
AMANK,-0.8142,0.51,Alternate Carbon Metabolism,1.735,0.9868
ALLULPE,0.2679,0.437,Alternate Carbon Metabolism,4.0387,4.863
AMAOTr,0.3377,0.355,Cofactor and Prosthetic Group Biosynthesis,5.3232,6.7271
ALLabcpp,-0.3978,0.458,"Transport, Inner Membrane",6.711,5.0937
ALLtex,1.3572,0.0731,"Transport, Outer Membrane Porin",10.3582,26.5356
AMMQLT8,0.7556,0.138,Cofactor and Prosthetic Group Biosynthesis,8.5208,14.3862
ALPATE160pp,0.7235,0.245,Unassigned,7.0369,11.6192
ASCBptspp,0.0011,0.734,"Transport, Inner Membrane",2.3887,2.3905
ASCBtex,-0.0021,0.375,"Transport, Outer Membrane Porin",8.8874,8.8747
ALPATG160pp,0.6321,0.352,Unassigned,1.0122,1.5687
AMPMS2,0.0549,0.659,Cofactor and Prosthetic Group Biosynthesis,4.0287,4.185
ALR2,0.1007,0.365,Methylglyoxal Metabolism,12.7275,13.6477
ALR4x,1.1379,0.341,Glycerophospholipid Metabolism,6.2596,13.7748
ASNN,-0.1722,0.527,Alanine and Aspartate Metabolism,4.2204,3.7454
ASNNpp,-0.0265,0.803,Alanine and Aspartate Metabolism,3.9566,3.8846
AMPN,-0.838,0.0636,Nucleotide Salvage Pathway,4.2584,2.3822
ASNS1,-0.8519,0.373,Alanine and Aspartate Metabolism,7.7777,4.3092
ALTRH,0.4758,0.454,Alternate Carbon Metabolism,0.7465,1.0382
AM3PA,0.5339,0.357,Murein Recycling,13.8299,20.0231
ASNS2,-0.7167,0.264,Alanine and Aspartate Metabolism,0.9476,0.5766
AMPTASECG,0.9213,0.411,Cysteine Metabolism,6.7483,12.7798
AM4PA,0.2457,0.596,Murein Recycling,7.2696,8.6196
ASNTRS,-0.983,0.314,tRNA Charging,2.7612,1.397
AM4PCP,0.3517,0.453,Murein Recycling,9.8287,12.5417
AMALT1,-0.0329,0.463,Alternate Carbon Metabolism,6.7453,6.5934
ASNabcpp,0.5265,0.259,"Transport, Inner Membrane",6.3259,9.1117
ASNt2rpp,0.5639,0.286,"Transport, Inner Membrane",6.3123,9.3313
ASNtex,0.6926,0.0993,"Transport, Outer Membrane Porin",9.6549,15.6045
AMALT2,-0.1098,0.608,Alternate Carbon Metabolism,6.6898,6.1998
ASO3t8pp,-0.6103,0.206,"Transport, Inner Membrane",5.5446,3.632
AMPTASEPG,0.1139,0.64,Arginine and Proline Metabolism,4.2625,4.6128
ASO3tex,0.7675,0.236,"Transport, Outer Membrane Porin",6.093,10.3721
ASP1DC,0.2172,0.693,Cofactor and Prosthetic Group Biosynthesis,6.1568,7.1572
AMPtex,1.0449,0.0674,"Transport, Outer Membrane Porin",5.426,11.1949
ASPCT,-0.7974,0.226,Purine and Pyrimidine Biosynthesis,1.5781,0.908
ANHGMtex,1.0245,0.0668,"Transport, Outer Membrane Porin",2.9162,5.9323
ASPK,0.2039,0.705,Threonine and Lysine Metabolism,7.8712,9.0662
ASPO3,0.4333,0.475,Cofactor and Prosthetic Group Biosynthesis,3.6634,4.9467
ANHMK,-0.1099,0.605,Murein Recycling,4.5698,4.2345
ASPO4,0.0599,0.741,Cofactor and Prosthetic Group Biosynthesis,8.9198,9.2982
ASPO5,0.3642,0.213,Cofactor and Prosthetic Group Biosynthesis,5.9089,7.606
ANPRT,-0.8735,0.266,"Tyrosine, Tryptophan, and Phenylalanine Metabolism",3.9649,2.1641
ASPO6,0.0094,0.614,Cofactor and Prosthetic Group Biosynthesis,1.0715,1.0786
ANS,0.073,0.364,"Tyrosine, Tryptophan, and Phenylalanine Metabolism",5.3748,5.654
AOBUTDs,-0.0119,0.318,Threonine and Lysine Metabolism,0.6193,0.6142
AOXSr2,-0.602,0.219,Cofactor and Prosthetic Group Biosynthesis,0.1332,0.0878
ASPT,0.9328,0.229,Alanine and Aspartate Metabolism,3.7697,7.1964
CAT,0.4071,0.377,Unassigned,10.4031,13.7943
ASPTA,0.0984,0.695,Alanine and Aspartate Metabolism,5.2074,5.5749
AP4AH,-0.7431,0.114,Nucleotide Salvage Pathway,3.4165,2.0412
ASPTRS,-0.2469,0.394,tRNA Charging,6.9298,5.8398
CAt6pp,-0.2401,0.566,Inorganic Ion Transport and Metabolism,0.9464,0.8013
CBIAT,0.9022,0.149,Cofactor and Prosthetic Group Biosynthesis,6.9251,12.9424
AP4AS,0.0881,0.332,Nucleotide Salvage Pathway,7.3413,7.8036
CBItonex,1.56,0.0236,"Transport, Outer Membrane",9.2033,27.1362
AP5AH,-1.1455,0.018,Nucleotide Salvage Pathway,5.3836,2.4335
CBIuabcpp,0.5009,0.149,"Transport, Inner Membrane",5.002,7.0782
ASPabcpp,-0.0173,0.65,"Transport, Inner Membrane",8.6992,8.5955
ASPt2_2pp,0.1138,0.502,"Transport, Inner Membrane",1.3064,1.4137
ASPt2_3pp,0.563,0.231,"Transport, Inner Membrane",4.9321,7.2865
ASPt2pp_copy1,-0.3799,0.326,"Transport, Inner Membrane",12.5435,9.6395
CBL1abcpp,-0.6674,0.297,"Transport, Inner Membrane",5.105,3.2142
CBL1tonex,0.2255,0.28,"Transport, Outer Membrane",4.3685,5.1075
